imagePositionX,imagePositionY,eventType
982.32,870.49,2
965.3,883.53,2
932.61,1101.51,2
833.19,746.61,2
799.81,788.63,2
818.47,762.14,2
830.61,743.22,0
804.23,730.01,0
778.47,715.74,0
758.2,705.67,1
741.29,647.9,1
721.56,657.73,1
712.75,692.2,0
696.8,690.56,0
685.58,689.72,0
674.86,701.49,0
657.82,672.63,1
533.19,486.53,1
400.7,348.56,0
349.81,324.58,0
375.63,322.67,1
385.92,457.87,1
407.2,335.04,1
459.41,345.7,0
440.09,332.85,0
418.9,333.14,0
450.23,349.15,0
470.69,364.54,0
483.99,384.23,0
494.82,400.41,0
501.1,410.56,0
507.86,416.6,0
510.53,417.79,0
511.98,414.55,0
516.38,406.88,0
519.1,397.47,0
533.31,549.77,1
571.85,744.53,1
577.83,739.91,0
579.45,734.95,0
572.75,732.8,1
563.29,721.4,1
553.96,716.57,0
548.48,715.31,0
540.68,715.19,0
541.99,718.22,1
654.73,856.26,1
652.34,905.22,1
702.86,867.76,0
664.87,888.75,0
671.55,881.41,0
671.86,890.13,0
669.07,886.51,0
668.49,880.57,0
704.83,906.11,1
672.92,861.33,1
678.15,812.11,1
685.65,848.27,0
700.36,849.42,0
704.88,843.59,0
710.78,837.56,0
712.51,828.95,0
711.38,827.84,0
712.82,829.2,1
745.76,838.25,1
717.27,847.76,1
712.2,857.26,0
713.06,861.59,0
710.32,855.39,0
711.42,856.25,0
709.4,848.84,1
709.35,788.64,1
703.9,829.95,0
705.98,819.45,0
708.09,822.94,0
707.44,827.25,1
700.01,802.24,1
712.75,821.07,1
711,774.32,0
708.74,818.33,0
711.55,823.94,0
724.98,842.66,0
707.16,858.9,0
703.25,868.59,0
728.12,857.85,0
701.58,835.12,1
674.86,783.9,1
672.36,793.44,0
640.14,738.34,0
632.33,787.43,0
634.32,713.32,1
627.77,789.88,1
637.08,725.79,0
624.17,778.56,0
621.7,769.52,1
585,664.44,1
588.71,646.22,0
589.46,645.35,0
583.63,648.14,0
585.43,652.26,0
585.61,658,1
561.96,593.65,1
526.16,575.39,0
531.62,603.24,0
543.32,621.78,0
559.01,647.56,0
560.64,665.45,1
426.69,589.85,1
429.93,610.5,0
453.99,654.51,0
492.89,691.5,0
544.56,712.21,0
489.54,707.05,0
465.13,648.56,1
535.37,688.42,1
547.52,700.69,0
601.46,697.45,0
655.17,703.42,1
473.3,709.46,1
360.9,676.53,2
402.23,693.33,2
478.21,689.25,2
519.25,643.04,2
-2466.37,349.08,2
-102.07,919.53,2
319.57,726.62,2
403.99,722.85,2
392.42,728.42,2
170.99,821.98,2
233.1,818.43,2
341.68,802.83,1
394.18,992.56,1
413.97,811.6,1
205.79,906.75,1
310.11,842.13,0
409.63,785.63,0
476.44,798.7,0
465.48,780.01,1
325.35,822.71,1
389.1,780.31,1
439.6,791.67,1
526.09,725.86,1
596.17,706.32,1
560.64,719.01,1
324.82,801.47,1
365.71,774.92,0
412.44,754.3,0
464.32,734.6,0
501.83,719.82,0
551.2,699.96,0
596.06,689.76,0
636.22,678.58,0
548.73,685.59,1
314.03,738.43,1
328.64,732.16,0
371.62,719.49,0
424.92,707.16,0
469.85,702.96,0
511.08,705.87,0
561.08,702.41,0
611.53,702.03,0
653.78,719.64,0
693.25,716.61,1
723.76,727.21,1
456.29,755.56,1
336.61,833.1,1
386.42,814.56,0
438.86,791.43,0
477.33,789.33,0
514.53,787.09,0
545.99,782.68,0
585.03,805.62,0
615.9,778.81,0
647.32,783.49,1
700.96,849.59,1
672.83,803.26,1
548.69,1017.31,2
595.7,838.84,2
595.45,860.89,2
603.35,841.03,2
593.5,1037.25,2
645.07,949.23,2
566.46,1213.46,2
660.06,1338.87,2
678.48,1302.1,2
706.31,1277.1,2
711.43,1279.2,2
726.47,1284.52,2
-1063.71,6986.43,2
742.52,1269.39,2
630.14,1067.13,2
723.31,1083.65,2
706.12,1031.63,2
699.28,964.49,2
695.63,940.84,2
699.03,1128.42,2
674.75,862.18,2
702.27,847.38,2
694.37,794.83,2
695.47,772.72,2
701.11,741.5,2
705.08,718.94,2
703.19,706.63,2
701.3,688.07,2
708.03,725.34,2
718.15,693.68,0
714.82,680.43,0
712.73,673.15,0
709.7,664.29,0
701.36,662.54,0
691.59,666.86,0
687.5,663.72,0
686.43,666.66,0
685.11,668.96,0
684.08,670.75,0
684.27,670.39,0
680.47,669.06,0
683.21,668.48,0
682.57,676.19,1
689.05,669.21,1
690.53,672.43,0
694.64,676.64,0
699.44,649.49,1
702.38,680.91,1
700.35,691.58,0
701.66,689.04,0
698.1,690.46,0
698.07,655.27,1
702,693.86,1
705.25,683.77,1
687.85,732.9,1
703.92,680.88,1
697.3,684.42,0
691.58,670.28,0
697.66,661.16,0
697.36,642.38,0
692.29,628.23,0
687.92,614.6,0
688.54,606.57,0
698.86,602.02,0
706.63,603.87,0
709.3,615.24,0
708.57,622.95,0
707.36,632.45,0
701.35,626.08,1
693.61,612.48,1
678.76,610.21,1
682.08,610.07,1
934.6,662.53,1
993.54,664.64,0
960.35,655.86,0
927.26,662.08,0
883.18,669.7,1
1012.03,672.67,1
959.76,634.34,0
922.6,655,0
871.79,657.84,1
939.18,617.26,1
951.27,602.55,0
909.67,606.76,0
863.24,617.9,1
832.07,626.43,1
1143.26,702.06,1
1254.1,737.59,1
1294.22,917.55,1
1165.05,869.57,1
1287.43,1061.21,1
1185.56,934.58,0
1069.72,845.87,0
1007.63,861.19,1
993.94,746.57,1
944.84,717.15,0
902.32,730.18,0
864.05,726.41,1
993.03,659.36,1
936.37,568.44,0
907.79,566.85,0
865.76,551.6,0
830.57,545.5,0
801.94,551.89,1
918.06,599.62,1
886.89,587.57,0
848.23,578.38,0
801.71,563.45,0
756.39,550.2,1
776.1,577.12,1
1104.86,806.8,1
1145.83,745.76,1
1187.03,868.32,1
1134.67,840.09,1
1207.33,946.87,1
1145.54,913.93,0
1077.58,890.13,0
1011.54,875.7,0
950.59,858.78,2
896.42,870.75,2
1066.34,857.45,2
1384.99,556.55,2
1442.48,524.3,2
1327.12,724.69,2
1187.35,689.99,2
1080.34,694.46,2
1131.21,698.16,2
1612.61,754.76,2
1429.53,554.32,2
1673.2,783.92,2
1633.59,757.47,2
1640.73,783.14,2
1408.27,749.84,2
1245.4,724.93,2
1140.21,741.39,0
1050.79,748.66,0
977.07,757.65,0
921.75,775.33,0
869.77,786.92,0
848.01,787.42,0
819.01,817.3,0
828.32,959.91,0
824.61,1151.63,1
815.07,755.06,1
793.19,752.7,1
768.32,803.55,0
745.73,767.69,0
729.73,749.5,0
715.86,735.78,0
704.02,703.08,0
688.33,685.18,0
686.45,672.58,0
681.6,665.97,0
680.46,653.42,0
684.64,644.39,0
684.35,642.79,0
685.74,637.02,0
691.07,629.98,1
701.15,635.44,1
707.48,640.35,0
707.71,642.21,0
707.12,621.44,0
713.55,661.37,1
736.29,718.75,1
760.41,851.18,1
760.86,784.14,2
774.99,792.78,2
782.47,796.13,2
787.07,795.31,2
792.98,819.57,2
806.47,884.14,0
823.8,957.24,0
823.96,940.43,0
831.08,1001.46,1
831.55,1150.76,1
817.09,1125.61,1
855.58,1258.69,2
805.54,1021.84,2
817.82,1247.97,2
726.6,1160.03,0
690.26,990.25,0
666.33,984.11,0
637.58,970.01,2
639.43,957.67,2
620.54,953.53,2
614.48,1058.1,2
577.36,801.39,2
562.87,824.84,2
554.2,768.74,2
557.45,733.65,2
553.45,695.22,0
549.85,674.69,0
553.58,623.9,0
523.57,576.58,0
530.53,518.77,0
528.08,471.46,0
522.01,422.73,0
519.98,377.03,0
498.7,335.82,0
482,356.28,1
505.27,532.06,1
528.58,640.13,0
523.01,598.1,0
526.78,563.47,1
581.1,701.06,1
582.24,681.18,0
576.54,643.11,0
569.65,604.07,0
565.15,582.53,0
563.27,560.22,0
561.59,551.79,0
566.4,567.62,1
630.25,692.48,1
627.93,682.02,0
623.43,669.76,0
617.69,657.6,0
613.16,652.46,0
610.22,643.55,0
601.82,638.76,0
597.91,632.05,1
596.04,616.04,1
594.67,607.53,0
598.34,593.69,0
594.42,588.6,0
588.46,584.84,1
590.85,568.41,1
594.92,560.49,0
599.22,551.9,0
608.4,545.56,0
607.8,541.47,1
620.5,536.66,1
627.19,538.03,0
632.46,542.27,0
625.23,545.79,1
613.79,550.14,1
613.42,554.61,0
612.82,554.23,0
611.69,551.07,0
605.58,548.74,1
600.59,533.87,1
605.61,464.01,1
604.9,425.68,1
613.15,321.54,1
614.34,308.36,1
621.51,336.73,1
589.06,256.31,1
574.31,210.52,0
583.96,246.01,0
586.53,291.12,1
480.98,233.27,1
439.24,159.46,1
403.89,109.14,0
411.65,148.46,0
383.05,195.41,0
396.35,253.87,0
376.81,230.46,0
373.86,269.1,0
410.31,315.86,0
423.16,335.31,0
452.67,346.2,0
480.84,361.11,0
505.87,379.33,0
524.93,381.55,0
538.76,380.43,0
549.52,382.15,0
552.16,380.09,0
554.09,381.57,0
559.86,403.9,0
578.26,447.32,0
580.81,506.25,1
598.74,636.86,1
599.82,601.65,0
612.24,638.19,0
607.02,668.29,0
646.13,730.75,1
555.6,698.8,1
500.91,703.88,0
538.98,712.91,0
581.12,717.36,0
624.59,717.11,0
660.87,764.99,1
485.3,722.81,1
488,695.55,1
570.21,685.35,1
648.85,691.36,0
686.01,699.17,0
744.04,718.26,0
837.57,683.8,2
685.51,856.87,2
486.87,680.1,2
407.88,705.67,2
495.9,720.16,2
596.84,841.3,2
489.58,696.79,2
271.89,777.18,2
-5026.01,2593.82,2
-19.72,1055.14,2
224.79,788.29,2
318.85,782.47,2
360.16,812.46,2
72.94,913.22,2
166.87,873.65,2
240.01,839.68,0
324.26,817.56,0
322.82,837.36,1
108.59,903.51,1
164.97,902.5,1
253.85,872.29,1
342.46,886.31,1
412.98,875.62,3
400.7,954.17,1
165.94,862.02,1
184.29,846.14,0
228.34,862.77,0
271.87,879.47,0
328.61,899.22,0
359.45,917.5,0
396.16,929.67,0
456.35,903.44,1
384.34,842.46,1
434.41,826.16,1
