vRoot,vBones#srfBind_Cn_Pelvis,vBones#srfBind_Cn_SpineA,vBones#srfBind_Cn_SpineB,vBones#srfBind_Cn_SpineC,vBones#srfBind_Cn_Neck,vBones#srfBind_Cn_Head,aRoot,aBones#srfBind_Cn_Pelvis,aBones#srfBind_Cn_SpineA,aBones#srfBind_Cn_SpineB,aBones#srfBind_Cn_SpineC,aBones#srfBind_Cn_Neck,aBones#srfBind_Cn_Head,p0Root,p0Bones#srfBind_Cn_Pelvis,p0Bones#srfBind_Cn_SpineA,p0Bones#srfBind_Cn_SpineB,p0Bones#srfBind_Cn_SpineC,p0Bones#srfBind_Cn_Neck,p0Bones#srfBind_Cn_Head,pRoot,pBones#srfBind_Cn_Pelvis,pBones#srfBind_Cn_SpineA,pBones#srfBind_Cn_SpineB,pBones#srfBind_Cn_SpineC,pBones#srfBind_Cn_Neck,pBones#srfBind_Cn_Head,wRoot,wBones#srfBind_Cn_Pelvis,wBones#srfBind_Cn_SpineA,wBones#srfBind_Cn_SpineB,wBones#srfBind_Cn_SpineC,wBones#srfBind_Cn_Neck,wBones#srfBind_Cn_Head,pEndEff#Hand_L,pEndEff#Hand_R,pEndEff#srfBind_Lf_FootA,pEndEff#srfBind_Rt_FootA,wEndEff#Hand_L,wEndEff#Hand_R,wEndEff#srfBind_Lf_FootA,wEndEff#srfBind_Rt_FootA,p0,p
0,29.07407,2.055841,9.039472,9.039472,33.25565,58.60721,0,578.5658,87.22195,347.0661,347.0661,748.6215,605.3405,0,0.1577774,0.1166421,0.2689842,0.2688819,0.1970681,0.1210285,0,0.2115068,0.07422104,0.1906452,0.1905704,0.2012449,0.1954737,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1797881,0.1895258
0,44.69615,4.111682,20.3864,20.3864,16.14415,48.88161,0,802.5704,50.35762,201.4305,201.4305,123.3505,532.9355,0,0.2188645,0.06734336,0.1561133,0.1560539,0.03247095,0.1065522,0,0.2102272,0.07843011,0.1929627,0.1928902,0.2137361,0.2288218,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1116682,0.2090494
0,25.53997,5.30816,14.96676,14.96676,16.05665,37.10038,0,574.166,0,347.0661,347.0661,1047.274,1546.822,0,0.1565776,0,0.2689842,0.2688819,0.2756857,0.309263,0,0.1920434,0.08169898,0.1889871,0.1889137,0.2826584,0.2961898,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.2424335,0.2331784
0,11.98752,4.893881,4.597001,4.597001,40.84203,57.46624,0,275.8201,61.67524,230.7677,230.7677,1830.646,2891.385,0,0.07521735,0.08247843,0.1788502,0.1787822,0.4819018,0.5780876,0,0.1643947,0.08494092,0.1685334,0.1684693,0.3301798,0.3708644,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.3460189,0.2467413
0,13.27041,3.140349,3.560822,3.560822,20.86454,41.47529,0,443.3191,118.0991,170.771,170.771,1169.67,1871.745,0,0.120895,0.1579342,0.1323515,0.1323011,0.3079054,0.3742263,0,0.1410056,0.08065327,0.1369416,0.1368899,0.3302351,0.3712409,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.2462734,0.2451001
0,27.63311,3.140349,9.117065,9.117065,18.95394,37.4782,0,1000.208,71.21642,118.0991,118.0991,1928.469,2986.315,0,0.2727611,0.09523788,0.0915295,0.09149467,0.5076526,0.5970674,0,0.1380282,0.07226437,0.1138615,0.1138189,0.3461944,0.4008384,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.3560569,0.2430114
0,12.27781,4.893881,12.89348,12.89348,46.63972,65.62711,0,278.1091,61.67524,71.21642,71.21642,1937.652,1374.044,0,0.07584157,0.08247843,0.05519437,0.05517336,0.5100701,0.2747189,0,0.1265317,0.06338249,0.1031212,0.1030829,0.3317148,0.3790321,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.2244491,0.2327545
0,19.4673,4.597001,14.7773,14.7773,31.33623,21.26582,0,335.9274,50.35762,35.60821,35.60821,885.9248,2052.686,0,0.09160885,0.06734336,0.02759718,0.02758668,0.233212,0.4104027,0,0.118863,0.0538504,0.09575729,0.09572141,0.257475,0.3633727,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.2011918,0.2119872
0,18.65425,4.747762,14.96676,14.96676,13.9434,58.53505,0,332.1314,0,87.22195,87.22195,339.6809,1286.84,0,0.09057369,0,0.06759902,0.06757329,0.08941805,0.2572837,0,0.1128684,0.04235118,0.1001918,0.1001539,0.1924687,0.3128926,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1265118,0.1855601
0,26.48773,5.035762,13.68847,13.68847,18.34968,28.87959,0,501.0525,0,146.8164,146.8164,71.21642,1504.013,0,0.1366392,0,0.1137861,0.1137428,0.01874711,0.300704,0,0.1039799,0.03219331,0.1073643,0.1073233,0.1648049,0.290342,0.3341562,0.3341562,0.3431843,0.4024597,0.4515602,0.6745546,1,0,0,0,0,0,0,0,0,0.1422885,0.1721147
