keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#Bone_Hips,keyFrameIndexBone#Bone_SpineA,keyFrameIndexBone#Bone_SpineB,keyFrameIndexBone#Bone_SpineC,keyFrameIndexBone#Bone_Neck,keyFrameIndexBone#Bone_Head,keyFrameIndexBone#Bone_Eye_L,keyFrameIndexBone#Bone_Eye_R,keyFrameIndexBone#Bone_Shoulder_L,keyFrameIndexBone#Bone_UpperArm_L,keyFrameIndexBone#Bone_Forearm_L,keyFrameIndexBone#Bone_Hand_L,keyFrameIndexBone#Bone_Fingers_L,keyFrameIndexBone#Bone_Thumb_L,keyFrameIndexBone#Bone_Shoulder_R,keyFrameIndexBone#Bone_UpperArm_R,keyFrameIndexBone#Bone_Forearm_R,keyFrameIndexBone#Bone_Hand_R,keyFrameIndexBone#Bone_Fingers_R,keyFrameIndexBone#Bone_Thumb_R,keyFrameIndexBone#Bone_UpperLeg_L,keyFrameIndexBone#Bone_LowerLeg_L,keyFrameIndexBone#Bone_Foot_L,keyFrameIndexBone#Bone_Toes_L,keyFrameIndexBone#Bone_UpperLeg_R,keyFrameIndexBone#Bone_LowerLeg_R,keyFrameIndexBone#Bone_Foot_R,keyFrameIndexBone#Bone_Toes_R
410,410,415,410,410,410,411,413,413,413,412,410,412,410,410,410,412,410,408,410,410,410,410,410,411,408,411,410,411,410
423,420,422,422,425,425,423,423,425,423,421,419,425,421,423,423,425,423,427,423,423,423,423,423,427,426,423,417,422,423
433,433,435,440,435,435,428,428,433,433,440,430,428,434,433,433,429,431,433,431,433,433,434,429,438,430,436,438,436,433
447,446,447,446,448,448,448,448,447,447,440,450,449,450,447,447,449,448,446,447,447,447,445,442,445,444,449,452,450,447
473,466,469,471,473,473,476,476,467,474,470,466,466,466,473,473,473,470,471,470,473,473,472,475,473,472,468,473,473,473
500,501,496,500,499,499,498,498,500,500,498,498,507,501,500,500,502,497,495,497,500,500,495,498,494,493,498,502,500,500
524,524,524,522,524,524,524,524,520,523,528,520,520,520,524,524,517,526,522,521,524,524,523,525,523,522,518,528,518,524
548,547,546,545,548,548,548,548,548,548,547,548,553,551,548,548,548,547,545,547,548,548,545,548,544,544,548,551,550,548
559,566,560,559,556,556,559,559,559,559,554,563,563,563,559,559,555,555,560,559,559,559,557,560,558,566,555,564,564,559
574,574,575,574,574,574,574,574,574,574,580,568,571,569,574,574,580,577,579,572,574,574,574,576,573,572,567,568,568,574
595,593,593,593,595,595,595,595,602,602,595,596,597,597,595,595,595,595,592,595,595,595,592,589,591,590,596,599,597,595
619,620,620,615,619,619,618,618,621,620,613,613,613,613,619,619,626,613,624,614,619,619,619,622,621,619,616,618,615,619
639,637,640,641,642,642,641,641,639,639,646,642,639,644,639,639,643,636,637,636,639,639,639,635,639,639,644,645,644,639
653,653,654,654,649,649,652,652,653,653,646,649,659,649,653,653,654,652,653,653,653,653,654,650,655,655,657,656,656,653
666,660,663,668,669,669,665,665,666,666,672,664,666,667,666,666,660,670,661,667,666,666,668,671,669,669,665,665,664,666
692,685,692,691,692,692,698,698,696,691,692,692,693,693,692,692,685,699,691,690,692,692,686,694,688,685,693,695,694,692
719,714,716,720,721,721,719,719,720,719,722,721,715,714,719,719,720,723,723,726,719,719,720,724,723,723,716,712,715,719
745,740,740,738,742,742,746,746,745,745,742,743,740,742,745,745,744,741,745,742,745,745,745,739,746,738,740,745,747,745
753,751,756,751,751,751,753,753,753,753,759,752,752,752,753,753,759,754,749,754,753,753,753,756,752,756,754,754,755,753
767,764,768,768,771,771,764,764,767,767,767,760,768,760,767,767,767,764,765,764,767,767,767,767,764,769,768,767,763,767
