ExpressiveGazeClip,GazeInstance,GazeShiftRotation
WindowWashingAGaze7-Expressive0,WindowWashingAGaze7,"0.02250136 -0.04782922 0.008664802"
WindowWashingAGaze7-Expressive1,WindowWashingAGaze7,"0 0 0"
WindowWashingAGaze7-Expressive2,WindowWashingAGaze7,"-0.01083208 0.01315111 -0.0002680701"
WindowWashingAGaze7-Expressive3,WindowWashingAGaze7,"-0.01131188 0.01343833 -0.0007860783"
WindowWashingAGaze7-Expressive4,WindowWashingAGaze7,"-0.003895396 0.003681719 -0.0003363675"
WindowWashingAGaze8-Expressive0,WindowWashingAGaze8,"0.04037657 0.1334362 -0.05852638"
WindowWashingAGaze8-Expressive1,WindowWashingAGaze8,"0 0 0"
WindowWashingAGaze8-Expressive2,WindowWashingAGaze8,"-0.001022756 -0.0003302754 -0.0007776375"
WindowWashingAGaze8-Expressive3,WindowWashingAGaze8,"-0.006937994 -0.0030771 -0.004750188"
WindowWashingAGaze8-Expressive4,WindowWashingAGaze8,"-0.00240333 -0.001225539 -0.00158891"
WindowWashingAGaze9-Expressive0,WindowWashingAGaze9,"-0.1072922 0.03720838 0.4787835"
WindowWashingAGaze9-Expressive1,WindowWashingAGaze9,"0 0 0"
WindowWashingAGaze9-Expressive2,WindowWashingAGaze9,"0.05114057 0.03514755 -0.01363652"
WindowWashingAGaze9-Expressive3,WindowWashingAGaze9,"0.04938427 0.03465253 -0.01057687"
WindowWashingAGaze9-Expressive4,WindowWashingAGaze9,"0.02534457 0.02200279 -0.004459951"
WindowWashingAGaze10-Expressive0,WindowWashingAGaze10,"0.04366529 0.4544455 -0.2709228"
WindowWashingAGaze10-Expressive1,WindowWashingAGaze10,"0 0 0"
WindowWashingAGaze10-Expressive2,WindowWashingAGaze10,"-0.01348002 -0.005343085 -0.01053728"
WindowWashingAGaze10-Expressive3,WindowWashingAGaze10,"-0.02221028 -0.01172599 -0.01529326"
WindowWashingAGaze10-Expressive4,WindowWashingAGaze10,"-0.01455415 -0.008441075 -0.009676039"
WindowWashingAGaze11-Expressive0,WindowWashingAGaze11,"-0.00323925 -0.03061943 0.005414253"
WindowWashingAGaze11-Expressive1,WindowWashingAGaze11,"0 0 0"
WindowWashingAGaze11-Expressive2,WindowWashingAGaze11,"-0.005286051 0.02352237 0.002329136"
WindowWashingAGaze11-Expressive3,WindowWashingAGaze11,"-0.005487544 0.02497989 0.001355517"
WindowWashingAGaze11-Expressive4,WindowWashingAGaze11,"-0.003865013 0.01201351 -3.731857E-05"
WindowWashingAGaze12-Expressive0,WindowWashingAGaze12,"-8.296593E-05 -0.01095208 0.0002918442"
WindowWashingAGaze12-Expressive1,WindowWashingAGaze12,"0 0 0"
WindowWashingAGaze12-Expressive2,WindowWashingAGaze12,"0.0004832384 0.001031649 0.0004528263"
WindowWashingAGaze12-Expressive3,WindowWashingAGaze12,"0 0 0"
WindowWashingAGaze12-Expressive4,WindowWashingAGaze12,"0.000628303 0.001288327 0.0003428804"
WindowWashingAGaze13-Expressive0,WindowWashingAGaze13,"-0.03949085 -0.08194942 -0.3649883"
WindowWashingAGaze13-Expressive1,WindowWashingAGaze13,"0 0 0"
WindowWashingAGaze13-Expressive2,WindowWashingAGaze13,"0.06205782 0.03269912 -0.02641211"
WindowWashingAGaze13-Expressive3,WindowWashingAGaze13,"0.06137553 0.0369009 -0.01895356"
WindowWashingAGaze13-Expressive4,WindowWashingAGaze13,"0.02869236 0.02077611 -0.008252127"
WindowWashingAGaze15-Expressive0,WindowWashingAGaze15,"-0.05878654 0.7160696 -0.1198273"
WindowWashingAGaze15-Expressive1,WindowWashingAGaze15,"0 0 0"
WindowWashingAGaze15-Expressive2,WindowWashingAGaze15,"0.02340997 -0.005771117 0.0144532"
WindowWashingAGaze15-Expressive3,WindowWashingAGaze15,"0 0 0"
WindowWashingAGaze15-Expressive4,WindowWashingAGaze15,"-0.00248675 -2.032012E-05 -0.00136698"
WindowWashingAGaze16-Expressive0,WindowWashingAGaze16,"-0.04811698 -0.08069595 -0.02388551"
WindowWashingAGaze16-Expressive1,WindowWashingAGaze16,"0 0 0"
WindowWashingAGaze16-Expressive2,WindowWashingAGaze16,"0.002398328 0.01843712 0.01034427"
WindowWashingAGaze16-Expressive3,WindowWashingAGaze16,"0.003758918 0.02015221 0.008783307"
WindowWashingAGaze16-Expressive4,WindowWashingAGaze16,"0.001744702 0.01045789 0.003042432"
WindowWashingAGaze17-Expressive0,WindowWashingAGaze17,"-0.009348382 0.09328401 0.03478439"
WindowWashingAGaze17-Expressive1,WindowWashingAGaze17,"0 0 0"
WindowWashingAGaze17-Expressive2,WindowWashingAGaze17,"0.004770765 0.02678801 0.01448076"
WindowWashingAGaze17-Expressive3,WindowWashingAGaze17,"0.003710262 0.02852087 0.01141814"
WindowWashingAGaze17-Expressive4,WindowWashingAGaze17,"0.002971551 0.01529817 0.004359051"
WindowWashingAGaze18-Expressive0,WindowWashingAGaze18,"-0.1272013 -0.1093882 -0.3278804"
WindowWashingAGaze18-Expressive1,WindowWashingAGaze18,"0 0 0"
WindowWashingAGaze18-Expressive2,WindowWashingAGaze18,"0.05776983 0.02343177 -0.02902153"
WindowWashingAGaze18-Expressive3,WindowWashingAGaze18,"0.05790876 0.0277858 -0.02134955"
WindowWashingAGaze18-Expressive4,WindowWashingAGaze18,"0.02653112 0.01647007 -0.008911056"
WindowWashingAGaze19-Expressive0,WindowWashingAGaze19,"-0.07778878 -0.06397636 -0.05640925"
WindowWashingAGaze19-Expressive1,WindowWashingAGaze19,"0 0 0"
WindowWashingAGaze19-Expressive2,WindowWashingAGaze19,"-0.04414124 -0.04447715 -0.01240518"
WindowWashingAGaze19-Expressive3,WindowWashingAGaze19,"-0.04288824 -0.04382604 -0.00870159"
WindowWashingAGaze19-Expressive4,WindowWashingAGaze19,"-0.0211599 -0.01957491 -0.003372167"
